Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
1990,A,0,Maternal mortality ratio [3.1.1],,"Per 100,000 live births",760.0
2007,A,0,Maternal mortality ratio [3.1.1],,"Per 100,000 live births",580.0
2017,A,0,Maternal mortality ratio [3.1.1],,"Per 100,000 live births",310.0
2007,A,0,Institutional maternal mortality ratio,,"Per 100,000 live births",224.0
2008,A,0,Institutional maternal mortality ratio,,"Per 100,000 live births",200.0
2009,A,0,Institutional maternal mortality ratio,,"Per 100,000 live births",170.0
2010,A,0,Institutional maternal mortality ratio,,"Per 100,000 live births",163.0
2011,A,0,Institutional maternal mortality ratio,,"Per 100,000 live births",195.0
2012,A,0,Institutional maternal mortality ratio,,"Per 100,000 live births",152.0
2013,A,0,Institutional maternal mortality ratio,,"Per 100,000 live births",155.0
2014,A,0,Institutional maternal mortality ratio,,"Per 100,000 live births",144.0
2015,A,0,Institutional maternal mortality ratio,,"Per 100,000 live births",142.0
2016,A,0,Institutional maternal mortality ratio,,"Per 100,000 live births",152.0
2017,A,0,Institutional maternal mortality ratio,,"Per 100,000 live births",147.0
2008,A,0,Institutional maternal mortality ratio,Ashanti,"Per 100,000 live births",253.0
2009,A,0,Institutional maternal mortality ratio,Ashanti,"Per 100,000 live births",215.0
2010,A,0,Institutional maternal mortality ratio,Ashanti,"Per 100,000 live births",150.0
2011,A,0,Institutional maternal mortality ratio,Ashanti,"Per 100,000 live births",232.0
2012,A,0,Institutional maternal mortality ratio,Ashanti,"Per 100,000 live births",77.0
2013,A,0,Institutional maternal mortality ratio,Ashanti,"Per 100,000 live births",125.0
2014,A,0,Institutional maternal mortality ratio,Ashanti,"Per 100,000 live births",115.0
2015,A,0,Institutional maternal mortality ratio,Ashanti,"Per 100,000 live births",136.0
2008,A,0,Institutional maternal mortality ratio,Brong Ahafo,"Per 100,000 live births",185.0
2009,A,0,Institutional maternal mortality ratio,Brong Ahafo,"Per 100,000 live births",194.0
2010,A,0,Institutional maternal mortality ratio,Brong Ahafo,"Per 100,000 live births",139.0
2011,A,0,Institutional maternal mortality ratio,Brong Ahafo,"Per 100,000 live births",208.0
2012,A,0,Institutional maternal mortality ratio,Brong Ahafo,"Per 100,000 live births",167.0
2013,A,0,Institutional maternal mortality ratio,Brong Ahafo,"Per 100,000 live births",139.0
2014,A,0,Institutional maternal mortality ratio,Brong Ahafo,"Per 100,000 live births",135.0
2015,A,0,Institutional maternal mortality ratio,Brong Ahafo,"Per 100,000 live births",131.0
2008,A,0,Institutional maternal mortality ratio,Central,"Per 100,000 live births",223.0
2009,A,0,Institutional maternal mortality ratio,Central,"Per 100,000 live births",129.0
2010,A,0,Institutional maternal mortality ratio,Central,"Per 100,000 live births",149.0
2011,A,0,Institutional maternal mortality ratio,Central,"Per 100,000 live births",141.0
2012,A,0,Institutional maternal mortality ratio,Central,"Per 100,000 live births",113.0
2013,A,0,Institutional maternal mortality ratio,Central,"Per 100,000 live births",122.0
2014,A,0,Institutional maternal mortality ratio,Central,"Per 100,000 live births",105.0
2015,A,0,Institutional maternal mortality ratio,Central,"Per 100,000 live births",108.0
2008,A,0,Institutional maternal mortality ratio,Eastern,"Per 100,000 live births",171.0
2009,A,0,Institutional maternal mortality ratio,Eastern,"Per 100,000 live births",136.0
2010,A,0,Institutional maternal mortality ratio,Eastern,"Per 100,000 live births",192.0
2011,A,0,Institutional maternal mortality ratio,Eastern,"Per 100,000 live births",207.0
2012,A,0,Institutional maternal mortality ratio,Eastern,"Per 100,000 live births",179.0
2013,A,0,Institutional maternal mortality ratio,Eastern,"Per 100,000 live births",200.0
2014,A,0,Institutional maternal mortality ratio,Eastern,"Per 100,000 live births",176.0
2015,A,0,Institutional maternal mortality ratio,Eastern,"Per 100,000 live births",176.0
2008,A,0,Institutional maternal mortality ratio,Greater Accra,"Per 100,000 live births",194.0
2009,A,0,Institutional maternal mortality ratio,Greater Accra,"Per 100,000 live births",197.0
2010,A,0,Institutional maternal mortality ratio,Greater Accra,"Per 100,000 live births",182.0
2011,A,0,Institutional maternal mortality ratio,Greater Accra,"Per 100,000 live births",256.0
2012,A,0,Institutional maternal mortality ratio,Greater Accra,"Per 100,000 live births",201.0
2013,A,0,Institutional maternal mortality ratio,Greater Accra,"Per 100,000 live births",197.0
2014,A,0,Institutional maternal mortality ratio,Greater Accra,"Per 100,000 live births",185.0
2015,A,0,Institutional maternal mortality ratio,Greater Accra,"Per 100,000 live births",177.0
2008,A,0,Institutional maternal mortality ratio,Northern,"Per 100,000 live births",176.0
2009,A,0,Institutional maternal mortality ratio,Northern,"Per 100,000 live births",147.0
2010,A,0,Institutional maternal mortality ratio,Northern,"Per 100,000 live births",137.0
2011,A,0,Institutional maternal mortality ratio,Northern,"Per 100,000 live births",165.0
2012,A,0,Institutional maternal mortality ratio,Northern,"Per 100,000 live births",212.0
2013,A,0,Institutional maternal mortality ratio,Northern,"Per 100,000 live births",174.0
2014,A,0,Institutional maternal mortality ratio,Northern,"Per 100,000 live births",108.0
2015,A,0,Institutional maternal mortality ratio,Northern,"Per 100,000 live births",144.0
2008,A,0,Institutional maternal mortality ratio,Upper East,"Per 100,000 live births",152.0
2009,A,0,Institutional maternal mortality ratio,Upper East,"Per 100,000 live births",131.0
2010,A,0,Institutional maternal mortality ratio,Upper East,"Per 100,000 live births",138.0
2011,A,0,Institutional maternal mortality ratio,Upper East,"Per 100,000 live births",120.0
2012,A,0,Institutional maternal mortality ratio,Upper East,"Per 100,000 live births",136.0
2013,A,0,Institutional maternal mortality ratio,Upper East,"Per 100,000 live births",108.0
2014,A,0,Institutional maternal mortality ratio,Upper East,"Per 100,000 live births",139.0
2015,A,0,Institutional maternal mortality ratio,Upper East,"Per 100,000 live births",89.7
2008,A,0,Institutional maternal mortality ratio,Upper West,"Per 100,000 live births",121.0
2009,A,0,Institutional maternal mortality ratio,Upper West,"Per 100,000 live births",267.0
2010,A,0,Institutional maternal mortality ratio,Upper West,"Per 100,000 live births",158.0
2011,A,0,Institutional maternal mortality ratio,Upper West,"Per 100,000 live births",202.0
2012,A,0,Institutional maternal mortality ratio,Upper West,"Per 100,000 live births",146.0
2013,A,0,Institutional maternal mortality ratio,Upper West,"Per 100,000 live births",193.0
2014,A,0,Institutional maternal mortality ratio,Upper West,"Per 100,000 live births",161.0
2015,A,0,Institutional maternal mortality ratio,Upper West,"Per 100,000 live births",156.0
2008,A,0,Institutional maternal mortality ratio,Volta,"Per 100,000 live births",145.0
2009,A,0,Institutional maternal mortality ratio,Volta,"Per 100,000 live births",146.0
2010,A,0,Institutional maternal mortality ratio,Volta,"Per 100,000 live births",210.0
2011,A,0,Institutional maternal mortality ratio,Volta,"Per 100,000 live births",201.0
2012,A,0,Institutional maternal mortality ratio,Volta,"Per 100,000 live births",175.0
2013,A,0,Institutional maternal mortality ratio,Volta,"Per 100,000 live births",161.0
2014,A,0,Institutional maternal mortality ratio,Volta,"Per 100,000 live births",179.0
2015,A,0,Institutional maternal mortality ratio,Volta,"Per 100,000 live births",134.0
2008,A,0,Institutional maternal mortality ratio,Western,"Per 100,000 live births",270.0
2009,A,0,Institutional maternal mortality ratio,Western,"Per 100,000 live births",148.0
2010,A,0,Institutional maternal mortality ratio,Western,"Per 100,000 live births",176.0
2011,A,0,Institutional maternal mortality ratio,Western,"Per 100,000 live births",114.0
2012,A,0,Institutional maternal mortality ratio,Western,"Per 100,000 live births",132.0
2013,A,0,Institutional maternal mortality ratio,Western,"Per 100,000 live births",153.0
2014,A,0,Institutional maternal mortality ratio,Western,"Per 100,000 live births",150.0
2015,A,0,Institutional maternal mortality ratio,Western,"Per 100,000 live births",125.0
